algo,feature_set,curve,x,y
decision_tree,reduced,pr,0.4417293233082707,0.136040357260999
decision_tree,reduced,pr,0.4352846401718582,0.1365512593715778
decision_tree,reduced,pr,0.42910848549946295,0.13768740306737895
decision_tree,reduced,pr,0.42158968850698175,0.1378886351659933
decision_tree,reduced,pr,0.41514500537056925,0.13839405603795543
decision_tree,reduced,pr,0.40977443609022557,0.1385886840432295
decision_tree,reduced,pr,0.4035982814178303,0.14006150405367626
decision_tree,reduced,pr,0.3993018259935553,0.1409077987302189
decision_tree,reduced,pr,0.39339419978517726,0.14143657076655725
decision_tree,reduced,pr,0.38238453276047263,0.14135398054397458
decision_tree,reduced,pr,0.37218045112781956,0.14081072843645231
decision_tree,reduced,pr,0.3668098818474758,0.14238065457577653
decision_tree,reduced,pr,0.3635875402792696,0.14329558683458568
decision_tree,reduced,pr,0.36009667024704617,0.1450200064885909
decision_tree,reduced,pr,0.3560687432867884,0.14653552878771134
decision_tree,reduced,pr,0.34828141783029,0.1477725874444571
decision_tree,reduced,pr,0.34398496240601506,0.14935292060160896
decision_tree,reduced,pr,0.3356605800214823,0.15027650877614812
decision_tree,reduced,pr,0.33163265306122447,0.1522999136761623
decision_tree,reduced,pr,0.325187969924812,0.15383638211382114
decision_tree,reduced,pr,0.3147153598281418,0.15564409030544488
decision_tree,reduced,pr,0.30639097744360905,0.15617300848617574
decision_tree,reduced,pr,0.3010204081632653,0.15779842342342343
decision_tree,reduced,pr,0.29833512352309344,0.1599251475457032
decision_tree,reduced,pr,0.29296455424274975,0.16261737963929052
decision_tree,reduced,pr,0.28651987110633725,0.16297540858408432
decision_tree,reduced,pr,0.28114930182599357,0.16574323254709514
decision_tree,reduced,pr,0.2741675617615467,0.16596228868660598
decision_tree,reduced,pr,0.26879699248120303,0.16834846955936764
decision_tree,reduced,pr,0.26262083780880774,0.1708296943231441
decision_tree,reduced,pr,0.25483351235230933,0.17151635640701246
decision_tree,reduced,pr,0.24704618689581095,0.17614397855638522
decision_tree,reduced,pr,0.24060150375939848,0.17725024727992086
decision_tree,reduced,pr,0.23174006444683137,0.1787859954423037
decision_tree,reduced,pr,0.22717508055853922,0.1809625668449198
decision_tree,reduced,pr,0.22019334049409237,0.18464309840126097
decision_tree,reduced,pr,0.2140171858216971,0.18578088578088578
decision_tree,reduced,pr,0.2027389903329753,0.18591479931051466
decision_tree,reduced,pr,0.19172932330827067,0.18632567849686849
decision_tree,reduced,pr,0.1836734693877551,0.18765432098765433
decision_tree,reduced,pr,0.17132116004296455,0.18903703703703703
decision_tree,reduced,pr,0.16353383458646617,0.19199243379571249
decision_tree,reduced,pr,0.14876476906552094,0.19390969548477424
decision_tree,reduced,pr,0.1436627282491944,0.19844213649851633
decision_tree,reduced,pr,0.13668098818474758,0.20441767068273092
decision_tree,reduced,pr,0.13319011815252416,0.20999153259949196
decision_tree,reduced,pr,0.12432867883995703,0.21645628798503974
decision_tree,reduced,pr,0.11063372717508056,0.21833598304186538
decision_tree,reduced,pr,0.10311493018259936,0.22911694510739858
