algo,feature_set,threshold,f1_positive,recall_positive,precision_positive,accuracy
xgboost,full,0.15,0.17170421062636632,0.9701933404940923,0.0941866527632951,0.24430377002623194
xgboost,full,0.2,0.1851645878022298,0.9387755102040817,0.10271175485501072,0.33295033277689856
xgboost,full,0.25,0.201763562995068,0.9062835660580022,0.11351787696343883,0.42105491360808206
xgboost,full,0.3,0.21864602430909214,0.8646616541353384,0.12514574426739214,0.5010731242005767
xgboost,full,0.35,0.2363523090102017,0.814983888292159,0.13821841697786683,0.574826023803846
xgboost,full,0.4,0.25317136581648664,0.7583243823845328,0.15195049771320956,0.6388015695796389
xgboost,full,0.45,0.26910645396726096,0.6930719656283566,0.1669685599689481,0.6960565395538405
xgboost,full,0.5,0.2826232298061144,0.624328678839957,0.18265378270091917,0.7441194961736076
xgboost,full,0.55,0.29760457633178405,0.5588077336197637,0.20280674398206802,0.7870444641966744
xgboost,full,0.6,0.3049380621075853,0.48254564983888293,0.22289754403373851,0.8224033646237562
xgboost,full,0.7,0.2966247844296625,0.3233082706766917,0.27401001365498406,0.8762113295900449
xgboost,full,0.8,0.22288261515601784,0.1611170784103115,0.3614457831325301,0.9092939059552974
xgboost,full,0.9,0.05964822839663523,0.03141783029001074,0.5879396984924623,0.920025147961064
