algo,feature_set,feature,importance,std,rank
bagging,full,YEARS_BEGINEXPLUATATION_AVG,0.00044964617467443404,0.00022879744730960481,19
bagging,full,BUREAU_HISTORY_YEARS,0.00037970497241069935,0.0006147503338563646,20
bagging,full,dti,0.00035027246164329173,0.0005556705822297169,21
bagging,full,REGION_POPULATION_RELATIVE,0.0003132765365878587,0.00026582065084560386,22
bagging,full,bureau_debt_income_ratio,0.0003112585107714949,0.0005441905712538882,23
bagging,full,AMT_REQ_CREDIT_BUREAU_YEAR,0.00021799296635516274,8.569451245284791e-05,24
bagging,full,ORGANIZATION_TYPE,0.00021683709078658132,0.0003309665570128646,25
bagging,full,DAYS_REGISTRATION,0.00021329211570767504,0.00048177941420509605,26
bagging,full,BUREAU_TOTAL_DEBT,0.00017339853371867164,0.0005138898596164207,27
bagging,full,BUREAU_ACTIVE_LOAN_COUNT,0.00016726296710398714,0.0001814633871495605,28
bagging,full,AMT_INCOME_TOTAL,0.00015564914166048548,0.0002502629698907323,29
bagging,full,income_per_capita_ratio,0.00013809693496893427,0.00023350055337873288,30
bagging,full,HOUSETYPE_MODE,0.00010103671681792048,0.00019385061641946104,31
bagging,full,NAME_FAMILY_STATUS,8.11282437796712e-05,3.631072010047357e-05,32
bagging,full,FLAG_PHONE,7.718986862860766e-05,9.911115380265478e-05,33
bagging,full,AMT_ANNUITY,6.916679516636992e-05,0.0010252109118089315,34
bagging,full,TOTALAREA_MODE,6.114201548661491e-05,0.00010904329766874957,35
bagging,full,CNT_FAM_MEMBERS,6.092846763905979e-05,3.974514409580089e-05,36
bagging,full,BUREAU_NO_RECORD,5.421692225107688e-05,6.249614356820337e-06,37
bagging,full,FLOORSMAX_AVG,4.2874030289780094e-05,0.00010069727979967502,38
bagging,full,FLAG_OWN_CAR,4.0221152204716895e-05,0.0002921001156492143,39
bagging,full,FLAG_WORK_PHONE,3.926372717750759e-05,4.4673290165584564e-05,40
bagging,full,FLAG_EMP_PHONE,3.867302854776433e-05,8.897680186783007e-05,41
bagging,full,ELEVATORS_AVG,3.3503297005699204e-05,0.0001113511907002474,42
bagging,full,DAYS_ID_PUBLISH,2.520467004108462e-05,0.0004037286887592196,43
bagging,full,EMERGENCYSTATE_MODE,2.4793584766275022e-05,0.00018256628205834592,44
bagging,full,DEF_60_CNT_SOCIAL_CIRCLE,2.3574491612426974e-05,3.4467157112003766e-05,45
bagging,full,FLAG_DOCUMENT_8,6.2803303063130315e-06,1.4473575432500034e-05,46
bagging,full,EXT_SOURCE_3_MISSING,4.253626475392291e-06,6.27639467293216e-06,47
bagging,full,FLAG_DOCUMENT_6,4.0200675915147425e-06,4.183074953513612e-06,48
bagging,full,NAME_HOUSING_TYPE,2.8296313037690093e-07,3.869092114366208e-06,49
bagging,full,REG_REGION_NOT_LIVE_REGION,0.0,0.0,50
bagging,full,LIVE_REGION_NOT_WORK_REGION,0.0,0.0,51
bagging,full,REG_REGION_NOT_WORK_REGION,0.0,0.0,52
bagging,full,bureau_overdue_loan_count,0.0,0.0,53
bagging,full,AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.0,54
bagging,full,BUREAU_OVERDUE_LOAN_COUNT,0.0,0.0,55
bagging,full,BUREAU_TOTAL_OVERDUE,0.0,0.0,56
bagging,full,FLAG_DOCUMENT_5,0.0,0.0,57
bagging,full,BUREAU_MAX_DAYS_OVERDUE,0.0,0.0,58
bagging,full,bureau_overdue_loan_share,0.0,0.0,59
bagging,full,bureau_overdue_income_ratio,0.0,0.0,60
bagging,full,FLAG_EMAIL,-5.837857548263159e-07,7.230610113133875e-07,61
bagging,full,APARTMENTS_AVG,-3.0337535162183736e-06,0.00024677580052889553,62
bagging,full,OBS_30_CNT_SOCIAL_CIRCLE,-3.368989979679604e-06,0.00016650984183838675,63
bagging,full,OCCUPATION_TYPE_MISSING,-4.8074642225393035e-06,3.073297355473975e-05,64
bagging,full,REG_CITY_NOT_LIVE_CITY,-6.512937409752784e-06,1.9733251881125992e-05,65
bagging,full,DEF_30_CNT_SOCIAL_CIRCLE,-6.921438735452145e-06,4.2484925342580773e-05,66
bagging,full,AMT_REQ_CREDIT_BUREAU_MON,-1.074061359336298e-05,1.1795509506524427e-05,67
bagging,full,LIVE_CITY_NOT_WORK_CITY,-1.8464808415263877e-05,1.9888804611797186e-05,68
bagging,full,ENTRANCES_AVG,-2.264093863258987e-05,0.00013591149606331866,69
bagging,full,FLAG_OWN_REALTY,-2.513812051128661e-05,4.790063003343571e-05,70
bagging,full,NAME_CONTRACT_TYPE,-3.0399389023400002e-05,0.00016765217410625235,71
bagging,full,LANDAREA_AVG,-3.0681337898025295e-05,6.347009831592959e-05,72
bagging,full,NAME_INCOME_TYPE,-3.8475438467916455e-05,0.00033902867221137446,73
bagging,full,CNT_CHILDREN,-4.9899056726926404e-05,3.725232253456894e-05,74
bagging,full,NONLIVINGAREA_AVG,-7.049875484887446e-05,0.000360487235798074,75
bagging,full,AMT_REQ_CREDIT_BUREAU_QRT,-0.00011265368477428317,7.911425770389865e-05,76
